RegionName,State,Metro,CountyName,SizeRank,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,AVERAGE,,Metro,Average
Aberdeen,SD,Aberdeen,Brown,1560,156900,156900,158900,164900,179900,184700,179900,179400,186250,188250,189000,189900,176241.6667,,Aberdeen,161685.6964
Elma,WA,Aberdeen,Grays Harbor,5069,140000,139900,137900,137900,139000,137900,139900,142900,142900,148950,159900,153900,143420.8333,,Abilene,186761.1111
Hoquiam,WA,Aberdeen,Grays Harbor,5143,,,,,,,,,89900,84900,83450,80950,84800,,Ada,144175
McCleary,WA,Aberdeen,Grays Harbor,6498,,,,,136000,154450,181975,179900,179000,180949.5,169999,169949.5,169027.875,,Adrian,149590.3409
Montesano,WA,Aberdeen,Grays Harbor,4720,199900,181950,184250,196250,205000,219900,220000,239995,224950,220000,224900,220000,211424.5833,,Akron,194858.2663
Ocean Shores,WA,Aberdeen,Grays Harbor,6707,170950,174950,177500,173944,175000,179500,189250,189900,189950,198450,198500,195000,184407.8333,,Alamogordo,175202.0625
Westport,WA,Aberdeen,Grays Harbor,6823,159950,163700,171700,161750,164450,162500,149950,160625,164900,160750,161950,167500,162477.0833,,Albany,214591.3196
Abilene,TX,Abilene,Taylor,225,159900,163000,168900,169900,168000,168600,165000,159900,159900,159250,159600,158500,163370.8333,,Albemarle,220571.9213
Clyde,TX,Abilene,Callahan,5502,118700,117250,119800,119800,127900,144500,133250,129400,118950,109900,109900,112500,121820.8333,,Albertville,152063.0208
Tuscola,TX,Abilene,Taylor,7010,260000,277400,289900,292450,289900,272400,273900,273900,272900,275450,272900,250000,275091.6667,,Albuquerque,309507.5104
Ada,OK,Ada,Pontotoc,1922,139900,145450,150950,149900,147000,152450,148900,135950,144450,132450,139500,143200,144175,,Alexandria,173986.0833
Onsted,MI,Adrian,Lenawee,6488,145000,139950,145000,155000,164450,159000,169450,169450,169900,154200,146000,140000,154783.3333,,Alice,137066.6667
Raisin Township,MI,Adrian,Lenawee,5169,,164862.5,149875,159850,157450,163900,149900,152400,147450,139937.5,162900,149900,154402.2727,,Allentown,233149.9785
Tecumseh,MI,Adrian,Lenawee,5759,119950,124700,128250,129900,129900,129900,129900,144875,165900,169900,151950,149900,139585.4167,,Alma,77045.83333
Akron,OH,Akron,Summit,133,59900,59900,59900,62000,62900,61950,60000,59900,60000,59900,61900,62500,60895.83333,,Alpena,110564.5833
Aurora,OH,Akron,Portage,2878,274450,280000,282450,293019,314595,324900,324900,311000,319000,330000,326990,327995,309108.25,,Altoona,80250
Barberton,OH,Akron,Summit,1814,74600,71950,69900,73500,74900,74900,74900,74900,70000,69900,69900,72500,72654.16667,,Amarillo,170245.8333
Copley,OH,Akron,Summit,3121,199900,194900,204499.5,222445,219000,219900,229000,236900,250945,248990,235000,235995,224789.5417,,Americus,113220.8333
Cuyahoga Falls,OH,Akron,Summit,1012,112000,115000,116500,118950,119900,119900,119900,119900,119900,118400,119000,119000,118195.8333,,Ames,262394.4167
Fairlawn,OH,Akron,Summit,5100,169900,177200,187300,169900,174900,174950,177900,175000,174250,179500,179900,197400,178175,,Amsterdam,100691.6667
Garrettsville,OH,Akron,Portage,4856,150000,139900,139900,139900,139900,149900,144950,139900,144900,139900,139900,139900,142412.5,,Anchorage,260722.6771
Green,OH,Akron,Summit,1813,234900,218495,219900,224990,199900,195000,2.00E+05,224500,229900,230487.5,229945,219990,219000.625,,Andrews,206879.1667
Hudson,OH,Akron,Summit,2086,352500,349200,339900,348500,359950,369250,364900,365000,349900,349900,381200,368750,358245.8333,,Angola,192130
Kent,OH,Akron,Portage,1886,124200,114850,119900,122000,124900,127450,124200,125000,124200,125000,124900,123900,123375,,Ann Arbor,280407.0238
Macedonia,OH,Akron,Summit,3792,169900,162500,189000,202500,199749.5,186000,183200,183900,185000,209950,205000,206950,190304.125,,Anniston,115020
Mogadore,OH,Akron,Portage,4081,132400,134900,135000,149900,149900,149000,152450,149900,155000,144900,142900,141400,144804.1667,,Appleton,154530.5333
Montrose-Ghent,OH,Akron,Summit,6209,394450,394167.5,399335,399335,375450,424450,424900,429900,425000,399950,394900,425000,407236.4583,,Ardmore,149158.3333
New Franklin,OH,Akron,Summit,3432,135000,129400,128800,136000,136400,139900,144897.5,151200,144900,148000,149950,151288,141311.2917,,Arkadelphia,122479.1667
Northfield,OH,Akron,Summit,2615,139600,149000,149900,156900,159000,159900,163250,158200,154900,146500,150000,145000,152679.1667,,Arkansas City-Winfield,57040
Norton,OH,Akron,Summit,3483,132500,119900,122900,139000,127450,134900,127900,119950,120000,129950,130400,132900,128145.8333,,Asheville,301080.25
Portage Lakes,OH,Akron,Summit,5117,88700,92900,101000,114450,111950,109900,108450,111950,127400,133800,129500,129900,113325,,Ashtabula,90252.44792
Ravenna,OH,Akron,Portage,4628,129200,125000,122199.5,129400,129000,129450,121200,119900,124500,123200,119900,114950,123991.625,,Astoria,378248.1667
Reminderville,OH,Akron,Summit,6467,215000,201160,218950,215950,219900,217950,209900,225450,238900,242990,247990,249495,225302.9167,,Atchison,82500
Richfield,OH,Akron,Summit,5756,419000,454500,456950,475000,497000,499994,514450,523562.5,519900,509500,519000,499497,490696.125,,Athens,191983.8854
Stow,OH,Akron,Summit,1328,149900,149900,149900,154000,164900,164000,165000,164900,169900,163950,164950,159900,160100,,Atlanta,254465.6439
Tallmadge,OH,Akron,Summit,2629,144000,154950,155000,159900,159900,159900,159900,169900,169450,162450,169900,162450,160641.6667,,Atlantic City,231238.7352
Twinsburg,OH,Akron,Summit,2399,249000,239450,248000,239900,236000,234950,237000,234000,218500,219900,234990,244500,236349.1667,,Auburn,185871.5764
Alamogordo,NM,Alamogordo,Otero,1237,149999.5,150000,152500,155500,155500,159000,159900,159900,159700,159900,159900,157000,156566.625,,Augusta,183742.9375
Cloudcroft,NM,Alamogordo,Otero,6670,180000,184900,184900,184900,192200,2.00E+05,205000,199700,192200,199900,202450,199900,193837.5,,Austin,362840.2164
Albany,NY,Albany,Albany,345,167638.5,159900,169500,170000,174900,174900,174500,169898,169200,164900,165000,165000,168778.0417,,Bainbridge,135224.9167
Albany,GA,Albany,Dougherty,359,87500,89500,89949.5,89900,94500,89900,89900,89000,85000,89900,89900,83469,89034.875,,Bakersfield,208355.6326
Albany,OR,Albany,Linn,799,224900,227700,229900,239500,239950,244900,239900,234900,249900,249999,249999.5,249900,240120.7083,,Baltimore,338944.5676
