GeoFips,GeoName,LineCode,Description,2015
999,United States (Nonmetropolitan Portion)2/,1,RPPs: All items,87.8
999,United States (Nonmetropolitan Portion)2/,2,  RPPs: Goods,93.9
999,United States (Nonmetropolitan Portion)2/,3,  RPPs: Services: Rents,64.1
999,United States (Nonmetropolitan Portion)2/,4,  RPPs: Services: Other,93.7
10180,"Abilene, TX (Metropolitan Statistical Area)",1,RPPs: All items,91
10180,"Abilene, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,96.7
10180,"Abilene, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,77
10180,"Abilene, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
10420,"Akron, OH (Metropolitan Statistical Area)",1,RPPs: All items,89.7
10420,"Akron, OH (Metropolitan Statistical Area)",2,  RPPs: Goods,95.4
10420,"Akron, OH (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,77.9
10420,"Akron, OH (Metropolitan Statistical Area)",4,  RPPs: Services: Other,89.7
10500,"Albany, GA (Metropolitan Statistical Area)",1,RPPs: All items,83.8
10500,"Albany, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.6
10500,"Albany, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,55.7
10500,"Albany, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
10540,"Albany, OR (Metropolitan Statistical Area)",1,RPPs: All items,93.6
10540,"Albany, OR (Metropolitan Statistical Area)",2,  RPPs: Goods,98.7
10540,"Albany, OR (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,85.7
10540,"Albany, OR (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.8
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,RPPs: All items,99.7
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,  RPPs: Goods,98
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,105.1
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,98.6
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1,RPPs: All items,97.4
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2,  RPPs: Goods,96.3
10740,"Albuquerque, NM (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,91.6
10740,"Albuquerque, NM (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.7
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,RPPs: All items,88.3
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.9
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,66.7
10780,"Alexandria, LA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,RPPs: All items,100.4
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,  RPPs: Goods,98.6
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,102.1
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",4,  RPPs: Services: Other,101.3
11020,"Altoona, PA (Metropolitan Statistical Area)",1,RPPs: All items,89.5
11020,"Altoona, PA (Metropolitan Statistical Area)",2,  RPPs: Goods,98
11020,"Altoona, PA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,62.4
11020,"Altoona, PA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,98.6
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,RPPs: All items,93
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,97.2
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,83.6
11100,"Amarillo, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
11180,"Ames, IA (Metropolitan Statistical Area)",1,RPPs: All items,91.3
11180,"Ames, IA (Metropolitan Statistical Area)",2,  RPPs: Goods,92.6
11180,"Ames, IA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,91.3
11180,"Ames, IA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,89.6
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,RPPs: All items,109.4
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,  RPPs: Goods,102.4
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,146.6
11260,"Anchorage, AK (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.7
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,RPPs: All items,101.9
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,  RPPs: Goods,98.8
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,113.8
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,99.6
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",1,RPPs: All items,84.1
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,97.4
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,52.8
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.9
11540,"Appleton, WI (Metropolitan Statistical Area)",1,RPPs: All items,92.4
11540,"Appleton, WI (Metropolitan Statistical Area)",2,  RPPs: Goods,97.7
11540,"Appleton, WI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,78.7
11540,"Appleton, WI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
11700,"Asheville, NC (Metropolitan Statistical Area)",1,RPPs: All items,93
11700,"Asheville, NC (Metropolitan Statistical Area)",2,  RPPs: Goods,95.7
11700,"Asheville, NC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,87.7
11700,"Asheville, NC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,RPPs: All items,91.6
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.1
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,80.1
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",1,RPPs: All items,96.1
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,98.3
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,92.4
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,96
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,RPPs: All items,105.1
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,  RPPs: Goods,102.1
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,106
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",4,  RPPs: Services: Other,107.5
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,RPPs: All items,84.7
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,91.5
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,70.1
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,RPPs: All items,88.7
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,  RPPs: Goods,97
