area,bike_score,city,housing_cost,lat,lon,max_temp,min_temp,pop,pop_density,precipitation,rpp,state,transit_score,walk_score,wiki_url
301.5sqmi,65.1,New York,541500.0,40.6635,-73.9387,61.6,47.3,"8,537,673","28,317/sqmi",42.77,121.9,New York,84.1,89.2,https://wikipedia.org/wiki/New_York_City
468.7sqmi,56,Los Angeles,643700.0,34.0194,-118.4108,69.5,54.8,"3,976,322","8,484/sqmi",14.71,117.6,California,51.3,67.4,https://wikipedia.org/wiki/Los_Angeles
227.3sqmi,70.2,Chicago,291000.0,41.8376,-87.6818,59.1,40.8,"2,704,958","11,900/sqmi",36.89,99.7,Illinois,64.7,77.8,https://wikipedia.org/wiki/Chicago
637.5sqmi,49.3,Houston,145000.0,29.7866,-95.3909,79.1,57.2,"2,303,482","3,613/sqmi",50.48,93.1,Texas,36.8,48.7,https://wikipedia.org/wiki/Houston
517.6sqmi,54.3,Phoenix,217100.0,33.5722,-112.0901,87.2,63.0,"1,615,017","3,120/sqmi",8.18,97.2,Arizona,32.2,40.8,"https://wikipedia.org/wiki/Phoenix,_Arizona"
134.2sqmi,67.5,Philadelphia,132200.0,40.0094,-75.1333,63.7,45.3,"1,567,872","11,683/sqmi",46.95,100.5,Pennsylvania,66.8,79.0,https://wikipedia.org/wiki/Philadelphia
461.0sqmi,42,San Antonio,190300.0,29.4724,-98.5251,80.8,58.9,"1,492,510","3,238/sqmi",30.51,94.4,Texas,36.3,37.6,https://wikipedia.org/wiki/San_Antonio
325.2sqmi,45.5,San Diego,527100.0,32.8153,-117.1350,69.7,55.4,"1,406,630","4,325/sqmi",10.51,116.6,California,36.7,50.9,https://wikipedia.org/wiki/San_Diego
340.9sqmi,43.7,Dallas,267000.0,32.7933,-96.7665,77.0,57.4,"1,317,929","3,866/sqmi",37.57,84.2,Texas,39.5,46.2,https://wikipedia.org/wiki/Dallas
177.5sqmi,56.9,San Jose,792700.0,37.2967,-121.8189,67.0,50.7,"1,025,350","5,777/sqmi",18.04,118.5,California,41,50.5,"https://wikipedia.org/wiki/San_Jose,_California"
312.7sqmi,51.7,Austin,317200.0,30.3039,-97.7544,79.8,59.0,"947,890","3,031/sqmi",34.32,99.5,Texas,33.5,40.3,"https://wikipedia.org/wiki/Austin,_Texas"
